ticker,reason
FLIR,no_rows_in_batch
FMCN,no_rows_in_batch
FOSL,no_rows_in_batch
FWLT,no_rows_in_batch
GENZ,no_rows_in_batch
GFS,no_rows_in_batch
GMCR,no_rows_in_batch
GOLD,no_rows_in_batch
HANS,no_rows_in_batch
HIMS,no_rows_in_batch
HOLX,no_rows_in_batch
IACI,no_rows_in_batch
ILMN,no_rows_in_batch
INFY,no_rows_in_batch
INSM,no_rows_in_batch
IONQ,no_rows_in_batch
JAVA,no_rows_in_batch
JD,no_rows_in_batch
JNPR,no_rows_in_batch
JOYG,no_rows_in_batch
KFT,no_rows_in_batch
KRFT,no_rows_in_batch
LAMR,no_rows_in_batch
LBTYA,no_rows_in_batch
LBTYK,no_rows_in_batch
LCID,no_rows_in_batch
LEAP,no_rows_in_batch
LIFE,no_rows_in_batch
LILA,no_rows_in_batch
LILAK,no_rows_in_batch
LLTC,no_rows_in_batch
LMCA,no_rows_in_batch
LMCK,no_rows_in_batch
LOGI,no_rows_in_batch
LVLT,no_rows_in_batch
MAT,no_rows_in_batch
MEDI,no_rows_in_batch
MICC,no_rows_in_batch
MTCH,no_rows_in_batch
MXIM,no_rows_in_batch
MYL,no_rows_in_batch
NBIS,no_rows_in_batch
NET,no_rows_in_batch
NIHD,no_rows_in_batch
NLOK,no_rows_in_batch
NLTI,no_rows_in_batch
NTES,no_rows_in_batch
NUAN,no_rows_in_batch
NXT,no_rows_in_batch
OKLO,no_rows_in_batch
OKTA,no_rows_in_batch
PCLN,no_rows_in_batch
PDCO,no_rows_in_batch
PDD,no_rows_in_batch
PETM,no_rows_in_batch
PPDI,no_rows_in_batch
PRGO,no_rows_in_batch
PTEN,no_rows_in_batch
PTON,no_rows_in_batch
QBTS,no_rows_in_batch
QGEN,no_rows_in_batch
QRTEA,no_rows_in_batch
RGTI,no_rows_in_batch
RIMM,no_rows_in_batch
RIVN,no_rows_in_batch
RYAAY,no_rows_in_batch
SE,no_rows_in_batch
SEPR,no_rows_in_batch
SGEN,no_rows_in_batch
SHLD,no_rows_in_batch
SHPG,no_rows_in_batch
SIAL,no_rows_in_batch
SIRI,no_rows_in_batch
SNOW,no_rows_in_batch
SOLS,no_rows_in_batch
SOUN,no_rows_in_batch
SPLK,no_rows_in_batch
SPLS,no_rows_in_batch
SRCL,no_rows_in_batch
STRZA,no_rows_in_batch
TCOM,no_rows_in_batch
TEAM,no_rows_in_batch
TEVA,no_rows_in_batch
TLAB,no_rows_in_batch
TRI,no_rows_in_batch
TRIP,no_rows_in_batch
TSM,no_rows_in_batch
UAUA,no_rows_in_batch
URBN,no_rows_in_batch
VIAB,no_rows_in_batch
VIP,no_rows_in_batch
VMED,no_rows_in_batch
VOD,no_rows_in_batch
VSNT,no_rows_in_batch
WBA,no_rows_in_batch
WCRX,no_rows_in_batch
WFM,no_rows_in_batch
WFMI,no_rows_in_batch
XLNX,no_rows_in_batch
XMSR,no_rows_in_batch
XRAY,no_rows_in_batch
YHOO,no_rows_in_batch
ZM,no_rows_in_batch
A,no_rows_in_batch
ABBV,no_rows_in_batch
ABT,no_rows_in_batch
ACGL,no_rows_in_batch
ACN,no_rows_in_batch
ADM,no_rows_in_batch
ADSK,no_rows_in_batch
AEE,no_rows_in_batch
AES,no_rows_in_batch
AFL,no_rows_in_batch
AIG,no_rows_in_batch
AIZ,no_rows_in_batch
AJG,no_rows_in_batch
ALB,no_rows_in_batch
ALL,no_rows_in_batch
ALLE,no_rows_in_batch
AMCR,no_rows_in_batch
AME,no_rows_in_batch
AMGN,no_rows_in_batch
AMP,no_rows_in_batch
AMT,no_rows_in_batch
AON,no_rows_in_batch
AOS,no_rows_in_batch
APA,no_rows_in_batch
APD,no_rows_in_batch
APH,no_rows_in_batch
APO,no_rows_in_batch
APTV,no_rows_in_batch
ARE,no_rows_in_batch
ARES,no_rows_in_batch
ATO,no_rows_in_batch
AVB,no_rows_in_batch
AVY,no_rows_in_batch
AWK,no_rows_in_batch
AXP,no_rows_in_batch
AZO,no_rows_in_batch
BA,no_rows_in_batch
BAC,no_rows_in_batch
BALL,no_rows_in_batch
BAX,no_rows_in_batch
BBY,no_rows_in_batch
BDX,no_rows_in_batch
BE,no_rows_in_batch
